Source,Target,Type,Id,Label,timeset,Weight
600,602,Directed,11184,,,1
600,605,Directed,11185,,,1
600,606,Directed,11186,,,1
600,611,Directed,11187,,,1
600,613,Directed,11188,,,1
600,616,Directed,11189,,,1
600,617,Directed,11190,,,1
600,618,Directed,11191,,,1
600,623,Directed,11192,,,1
600,626,Directed,11193,,,1
600,627,Directed,11194,,,1
600,628,Directed,11195,,,1
600,629,Directed,11196,,,1
600,631,Directed,11197,,,1
600,632,Directed,11198,,,1
600,633,Directed,11199,,,1
600,634,Directed,11200,,,1
600,635,Directed,11201,,,1
600,641,Directed,11202,,,1
600,644,Directed,11203,,,1
600,645,Directed,11204,,,1
600,647,Directed,11205,,,1
600,648,Directed,11206,,,1
600,649,Directed,11207,,,1
600,651,Directed,11208,,,1
600,652,Directed,11209,,,1
600,653,Directed,11210,,,1
600,654,Directed,11211,,,1
600,655,Directed,11212,,,1
600,656,Directed,11213,,,1
600,657,Directed,11214,,,1
600,658,Directed,11215,,,1
600,661,Directed,11216,,,1
600,663,Directed,11217,,,1
600,664,Directed,11218,,,1
600,668,Directed,11219,,,1
600,671,Directed,11220,,,1
600,673,Directed,11221,,,1
600,674,Directed,11222,,,1
600,677,Directed,11223,,,1
600,678,Directed,11224,,,1
600,680,Directed,11225,,,1
600,681,Directed,11226,,,1
600,682,Directed,11227,,,1
600,684,Directed,11228,,,1
600,685,Directed,11229,,,1
600,688,Directed,11230,,,1
600,690,Directed,11231,,,1
600,695,Directed,11232,,,1
600,698,Directed,11233,,,1
600,699,Directed,11234,,,1
601,603,Directed,11235,,,1
601,606,Directed,11236,,,1
601,607,Directed,11237,,,1
601,608,Directed,11238,,,1
601,610,Directed,11239,,,1
601,611,Directed,11240,,,1
601,613,Directed,11241,,,1
601,614,Directed,11242,,,1
601,616,Directed,11243,,,1
601,619,Directed,11244,,,1
601,620,Directed,11245,,,1
601,622,Directed,11246,,,1
601,623,Directed,11247,,,1
601,624,Directed,11248,,,1
601,626,Directed,11249,,,1
601,627,Directed,11250,,,1
601,628,Directed,11251,,,1
601,631,Directed,11252,,,1
601,633,Directed,11253,,,1
601,634,Directed,11254,,,1
601,635,Directed,11255,,,1
601,637,Directed,11256,,,1
601,640,Directed,11257,,,1
601,642,Directed,11258,,,1
601,643,Directed,11259,,,1
601,648,Directed,11260,,,1
601,649,Directed,11261,,,1
601,650,Directed,11262,,,1
601,651,Directed,11263,,,1
601,652,Directed,11264,,,1
601,653,Directed,11265,,,1
601,656,Directed,11266,,,1
601,657,Directed,11267,,,1
601,659,Directed,11268,,,1
601,664,Directed,11269,,,1
601,666,Directed,11270,,,1
601,669,Directed,11271,,,1
601,670,Directed,11272,,,1
601,671,Directed,11273,,,1
601,673,Directed,11274,,,1
601,674,Directed,11275,,,1
601,675,Directed,11276,,,1
601,679,Directed,11277,,,1
601,680,Directed,11278,,,1
601,682,Directed,11279,,,1
601,686,Directed,11280,,,1
601,688,Directed,11281,,,1
601,689,Directed,11282,,,1
601,693,Directed,11283,,,1
601,695,Directed,11284,,,1
601,698,Directed,11285,,,1
601,699,Directed,11286,,,1
602,605,Directed,11287,,,1
602,606,Directed,11288,,,1
602,608,Directed,11289,,,1
602,609,Directed,11290,,,1
602,611,Directed,11291,,,1
602,614,Directed,11292,,,1
602,615,Directed,11293,,,1
602,618,Directed,11294,,,1
602,620,Directed,11295,,,1
602,625,Directed,11296,,,1
602,627,Directed,11297,,,1
602,628,Directed,11298,,,1
602,629,Directed,11299,,,1
602,631,Directed,11300,,,1
602,632,Directed,11301,,,1
602,634,Directed,11302,,,1
602,635,Directed,11303,,,1
602,636,Directed,11304,,,1
602,637,Directed,11305,,,1
602,638,Directed,11306,,,1
602,639,Directed,11307,,,1
602,642,Directed,11308,,,1
602,644,Directed,11309,,,1
602,647,Directed,11310,,,1
602,649,Directed,11311,,,1
602,650,Directed,11312,,,1
602,652,Directed,11313,,,1
602,655,Directed,11314,,,1
602,656,Directed,11315,,,1
602,658,Directed,11316,,,1
602,660,Directed,11317,,,1
602,661,Directed,11318,,,1
602,665,Directed,11319,,,1
602,667,Directed,11320,,,1
602,668,Directed,11321,,,1
602,669,Directed,11322,,,1
602,670,Directed,11323,,,1
602,671,Directed,11324,,,1
602,674,Directed,11325,,,1
602,678,Directed,11326,,,1
602,679,Directed,11327,,,1
602,680,Directed,11328,,,1
602,683,Directed,11329,,,1
602,685,Directed,11330,,,1
602,687,Directed,11331,,,1
602,690,Directed,11332,,,1
602,691,Directed,11333,,,1
602,693,Directed,11334,,,1
602,694,Directed,11335,,,1
602,695,Directed,11336,,,1
602,696,Directed,11337,,,1
602,697,Directed,11338,,,1
602,699,Directed,11339,,,1
603,604,Directed,11340,,,1
603,605,Directed,11341,,,1
603,606,Directed,11342,,,1
603,611,Directed,11343,,,1
603,613,Directed,11344,,,1
603,614,Directed,11345,,,1
603,615,Directed,11346,,,1
603,617,Directed,11347,,,1
603,619,Directed,11348,,,1
603,623,Directed,11349,,,1
603,626,Directed,11350,,,1
603,627,Directed,11351,,,1
603,628,Directed,11352,,,1
603,629,Directed,11353,,,1
603,630,Directed,11354,,,1
603,632,Directed,11355,,,1
603,633,Directed,11356,,,1
603,634,Directed,11357,,,1
603,636,Directed,11358,,,1
603,637,Directed,11359,,,1
603,638,Directed,11360,,,1
603,639,Directed,11361,,,1
603,641,Directed,11362,,,1
603,643,Directed,11363,,,1
603,644,Directed,11364,,,1
603,647,Directed,11365,,,1
603,650,Directed,11366,,,1
603,652,Directed,11367,,,1
603,653,Directed,11368,,,1
603,654,Directed,11369,,,1
603,657,Directed,11370,,,1
603,658,Directed,11371,,,1
603,659,Directed,11372,,,1
603,660,Directed,11373,,,1
603,665,Directed,11374,,,1
603,666,Directed,11375,,,1
603,669,Directed,11376,,,1
603,676,Directed,11377,,,1
603,677,Directed,11378,,,1
603,681,Directed,11379,,,1
603,686,Directed,11380,,,1
603,689,Directed,11381,,,1
603,690,Directed,11382,,,1
603,691,Directed,11383,,,1
603,692,Directed,11384,,,1
603,693,Directed,11385,,,1
603,696,Directed,11386,,,1
603,697,Directed,11387,,,1
603,699,Directed,11388,,,1
604,606,Directed,11389,,,1
604,608,Directed,11390,,,1
604,610,Directed,11391,,,1
604,612,Directed,11392,,,1
604,613,Directed,11393,,,1
604,614,Directed,11394,,,1
604,615,Directed,11395,,,1
604,618,Directed,11396,,,1
604,619,Directed,11397,,,1
604,620,Directed,11398,,,1
604,621,Directed,11399,,,1
604,624,Directed,11400,,,1
604,626,Directed,11401,,,1
604,627,Directed,11402,,,1
604,628,Directed,11403,,,1
604,629,Directed,11404,,,1
604,631,Directed,11405,,,1
604,633,Directed,11406,,,1
604,634,Directed,11407,,,1
604,635,Directed,11408,,,1
604,636,Directed,11409,,,1
604,637,Directed,11410,,,1
604,638,Directed,11411,,,1
604,642,Directed,11412,,,1
604,644,Directed,11413,,,1
604,645,Directed,11414,,,1
604,647,Directed,11415,,,1
604,648,Directed,11416,,,1
604,649,Directed,11417,,,1
604,650,Directed,11418,,,1
604,652,Directed,11419,,,1
604,654,Directed,11420,,,1
604,658,Directed,11421,,,1
604,661,Directed,11422,,,1
604,665,Directed,11423,,,1
604,666,Directed,11424,,,1
604,668,Directed,11425,,,1
604,669,Directed,11426,,,1
604,670,Directed,11427,,,1
604,672,Directed,11428,,,1
604,673,Directed,11429,,,1
604,675,Directed,11430,,,1
604,677,Directed,11431,,,1
604,678,Directed,11432,,,1
604,679,Directed,11433,,,1
604,680,Directed,11434,,,1
604,681,Directed,11435,,,1
604,682,Directed,11436,,,1
604,686,Directed,11437,,,1
604,689,Directed,11438,,,1
604,692,Directed,11439,,,1
604,695,Directed,11440,,,1
604,698,Directed,11441,,,1
604,699,Directed,11442,,,1
605,607,Directed,11443,,,1
605,615,Directed,11444,,,1
605,618,Directed,11445,,,1
605,620,Directed,11446,,,1
605,621,Directed,11447,,,1
605,622,Directed,11448,,,1
605,625,Directed,11449,,,1
605,626,Directed,11450,,,1
605,627,Directed,11451,,,1
605,629,Directed,11452,,,1
605,631,Directed,11453,,,1
605,637,Directed,11454,,,1
605,638,Directed,11455,,,1
605,643,Directed,11456,,,1
605,645,Directed,11457,,,1
605,647,Directed,11458,,,1
605,648,Directed,11459,,,1
605,649,Directed,11460,,,1
605,651,Directed,11461,,,1
605,652,Directed,11462,,,1
605,654,Directed,11463,,,1
605,655,Directed,11464,,,1
