Source,Target,Type,Id,Label,timeset,Weight,relationship
meli__si,jaka_ivancic,Directed,0,,,1,Mentions
rehaklubomir,tadejrupel,Directed,1,,,1,Mentions
rehaklubomir,sloinuk,Directed,2,,,1,Mentions
serlah2017,strankasds,Directed,3,,,1,Mentions
caplcapinski,serlah2017,Directed,4,,,1,Mentions
caplcapinski,strankasds,Directed,5,,,1,Mentions
lavrij,revijareporter,Directed,6,,,1,Mentions
iacomenius,demokracija1,Directed,7,,,1,Mentions
iacomenius,jozebiscak,Directed,8,,,1,Mentions
vanegosnik,jozebiscak,Directed,9,,,1,Mentions
mgregoric,kjukar,Directed,10,,,1,Mentions
laurakriznik,24ur_com,Directed,11,,,1,Mentions
laurakriznik,rtv_slovenija,Directed,12,,,1,Mentions
laurakriznik,sumandreja,Directed,13,,,1,Mentions
laurakriznik,annianni246,Directed,14,,,1,Mentions
tomazambrozic,futsalsi,Directed,15,,,1,Mentions
strikki,jaka_ivancic,Directed,16,,,1,Mentions
gasper_oswald,igorgobec,Directed,17,,,1,Mentions
majsanom,kjukar,Directed,18,,,1,Mentions
carin2013,jelka_godec,Directed,19,,,1,Mentions
fatoldsun1,sloinger,Directed,20,,,1,Mentions
multikultivator,kjukar,Directed,21,,,1,Mentions
marinijafiredon,sambaljig,Directed,22,,,1,Mentions
rgapari,medeja_7,Directed,23,,,1,Mentions
jureferjan,nova24tv,Directed,24,,,1,Mentions
turboeco,urosesih,Directed,25,,,1,Mentions
sdstrzic,nova24tv,Directed,26,,,1,Mentions
dejankolsek1,urosesih,Directed,27,,,1,Mentions
sylviav74759384,libbera16,Directed,28,,,1,Mentions
umijosek,rtv_slovenija,Directed,29,,,1,Mentions
istvantanko,delo,Directed,30,,,1,Mentions
jolandabuh,abratusek,Directed,31,,,1,Mentions
sloveniana,hvitranc,Directed,32,,,1,Mentions
sloveniana,jaka_ivancic,Directed,33,,,1,Mentions
sloveniana,vladars,Directed,34,,,1,Mentions
brandonturb,syrianasoldier,Directed,35,,,1,Mentions
hsuan_0209,reveluv1023,Directed,36,,,1,Mentions
gogorgo31,jaka_ivancic,Directed,37,,,1,Mentions
gape88,youtube,Directed,38,,,3,Mentions
cluneyministry,tbn,Directed,39,,,1,Mentions
cluneyministry,toddwhitelc,Directed,40,,,1,Mentions
cluneyministry,uncutstones,Directed,41,,,1,Mentions
cluneyministry,hirene7up,Directed,42,,,1,Mentions
cluneyministry,athietesforgod,Directed,43,,,1,Mentions
slovened,rozancgasper,Directed,44,,,1,Mentions
slovened,slovenskipanter,Directed,45,,,1,Mentions
anjaintihar,24ur_com,Directed,46,,,1,Mentions
ferdinandpusnik,freewiseguy,Directed,47,,,1,Mentions
biserislovenije,slovenskipanter,Directed,48,,,1,Mentions
termie1,felicity_aston,Directed,49,,,1,Mentions
termie1,dc43,Directed,50,,,1,Mentions
termie1,tedniktvs,Directed,51,,,1,Mentions
termie1,rtv_slovenija,Directed,52,,,1,Mentions
termie1,northpole2018,Directed,53,,,1,Mentions
bredakolar,vladars,Directed,54,,,1,Mentions
akrevs,delo,Directed,55,,,1,Mentions
svobodomiselni,stanejagergmaio,Directed,56,,,1,Mentions
